Sample	input	filtered	filtered_pc	denoisedF	denoisedR	denoisedF_pc	denoisedR_pc	merged	merged_pc	tabled	chimera_out	length_filtered	tabled_pc	chimera_out_pc	length_filtered_pc	day	treatment	mouse_label	BW	BW_percent	BW_delta	DAI	treatment_grouped	treatment_invivo	day_num	samples	se	Observed	Shannon
S_219	44852	44233	0.99	42985	43681	0.97	0.99	37694	0.88	37694	26929	26929	1	0.71	1	Day_-1	TreatA	m_8	20.55	0	0	0	TreatA	none	-1	S_219	NA	392	4.006562487289336
S_220	72545	72048	0.99	70726	70818	0.98	0.98	63881	0.9	63881	44125	44125	1	0.69	1	Day_-1	TreatA	m_19	21.32	0	0	0	TreatA	none	-1	S_220	NA	342	3.6147361995926444
S_221	76560	76051	0.99	74773	75012	0.98	0.99	67904	0.91	67904	49814	49814	1	0.73	1	Day_-1	TreatA	m_34	20.11	0	0	0	TreatA	none	-1	S_221	NA	338	3.5205602624621206
S_222	62479	62192	1	61528	61201	0.99	0.98	54905	0.89	54905	42532	42532	1	0.77	1	Day_-1	TreatA	m_26	21.9	0	0	0	TreatA	none	-1	S_222	NA	380	3.9064788150916807
S_223	78944	78670	1	77717	77643	0.99	0.99	68254	0.88	68254	49859	49859	1	0.73	1	Day_-1	TreatA	m_39	20.94	0	0	0	TreatA	none	-1	S_223	NA	501	4.6693355940666175
S_224	72930	72622	1	71294	71600	0.98	0.99	60502	0.85	60502	44187	44187	1	0.73	1	Day_-1	TreatA	m_46	21.12	0	0	0	TreatA	none	-1	S_224	NA	516	4.8562122459761206
S_225	194545	193572	0.99	191373	191090	0.99	0.99	173270	0.91	173270	124781	124781	1	0.72	1	Day_-1	TreatA	m_48	20.35	0	0	0	TreatA	none	-1	S_225	NA	529	4.240370080964991
S_226	62034	61405	0.99	60035	60599	0.98	0.99	53780	0.9	53780	39110	39110	1	0.73	1	Day_-1	TreatA	m_56	20.51	0	0	0	TreatA	none	-1	S_226	NA	398	4.0507527240979115
S_227	77255	76602	0.99	75092	75664	0.98	0.99	65965	0.88	65965	47209	47209	1	0.72	1	Day_-1	TreatB	m_29	20.95	0	0	0	TreatB	none	-1	S_227	NA	447	4.055810333771859
S_228	58784	58444	0.99	57469	57504	0.98	0.98	52534	0.91	52534	39238	39238	1	0.75	1	Day_-1	TreatB	m_13	20.35	0	0	0	TreatB	none	-1	S_228	NA	298	2.897002344054153
S_229	65923	65701	1	64821	65102	0.99	0.99	59729	0.92	59729	49569	49569	1	0.83	1	Day_-1	TreatB	m_18	21.55	0	0	0	TreatB	none	-1	S_229	NA	429	2.9611522154472354
S_230	51065	50870	1	50385	50108	0.99	0.99	45226	0.9	45226	32999	32999	1	0.73	1	Day_-1	TreatB	m_27	23.18	0	0	0	TreatB	none	-1	S_230	NA	341	3.55992120519313
S_231	123400	123134	1	122255	122251	0.99	0.99	113946	0.93	113946	89836	89836	1	0.79	1	Day_-1	TreatB	m_32	20.78	0	0	0	TreatB	none	-1	S_231	NA	432	3.135521745813575
S_232	60612	60294	0.99	59542	59544	0.99	0.99	53809	0.9	53809	37806	37806	1	0.7	1	Day_-1	TreatB	m_49	20.9	0	0	0	TreatB	none	-1	S_232	NA	381	3.768329708308714
S_233	66974	66745	1	65951	65893	0.99	0.99	58534	0.89	58534	44726	44726	1	0.76	1	Day_-1	TreatB	m_54	19.7	0	0	0	TreatB	none	-1	S_233	NA	511	4.229750572132139
S_251	46134	45771	0.99	44977	45491	0.98	0.99	42248	0.94	42248	36121	36121	1	0.85	1	Day_-1	TreatC	m_7	20.98	0	0	0	TreatC	none	-1	S_251	NA	301	2.068296042427034
S_252	43200	42935	0.99	41926	42309	0.98	0.99	37345	0.89	37345	27664	27664	1	0.74	1	Day_-1	TreatC	m_10	20.48	0	0	0	TreatC	none	-1	S_252	NA	418	4.066430254611232
S_253	61771	61392	0.99	60360	60789	0.98	0.99	55612	0.92	55612	39123	39123	1	0.7	1	Day_-1	TreatC	m_11	20.47	0	0	0	TreatC	none	-1	S_253	NA	331	3.657962411393966
S_254	52064	51842	1	51293	51367	0.99	0.99	47517	0.93	47517	34414	34414	1	0.72	1	Day_-1	TreatC	m_24	22.91	0	0	0	TreatC	none	-1	S_254	NA	337	3.797835811821646
S_255	60985	60720	1	60048	60142	0.99	0.99	55956	0.93	55956	41213	41213	1	0.74	1	Day_-1	TreatC	m_28	21.3	0	0	0	TreatC	none	-1	S_255	NA	361	3.8791755882751016
S_256	58725	58433	1	57619	57826	0.99	0.99	53508	0.93	53508	39884	39884	1	0.75	1	Day_-1	TreatC	m_36	22.47	0	0	0	TreatC	none	-1	S_256	NA	380	3.865054662837384
S_257	53218	52990	1	52344	52408	0.99	0.99	48415	0.92	48415	35603	35603	1	0.74	1	Day_-1	TreatC	m_51	21.92	0	0	0	TreatC	none	-1	S_257	NA	390	3.751226581512693
S_259	35191	34713	0.99	33684	34288	0.97	0.99	29649	0.88	29649	22393	22393	1	0.76	1	Day_-1	Control	m_2	21.09	0	0	0	Control	none	-1	S_259	NA	390	4.2010897879370095
S_260	59786	59402	0.99	58312	58638	0.98	0.99	53165	0.91	53165	37401	37401	1	0.7	1	Day_-1	Control	m_21	21.31	0	0	0	Control	none	-1	S_260	NA	342	3.7652233313577548
S_261	71389	70960	0.99	69815	70122	0.98	0.99	63752	0.91	63752	44075	44075	1	0.69	1	Day_-1	Control	m_22	20.45	0	0	0	Control	none	-1	S_261	NA	390	3.838565759810393
S_262	48071	47899	1	47393	47356	0.99	0.99	42784	0.9	42784	33102	33102	1	0.77	1	Day_-1	Control	m_25	22	0	0	0	Control	none	-1	S_262	NA	412	4.239776066302604
S_263	60459	60267	1	59414	59486	0.99	0.99	53184	0.9	53184	39177	39177	1	0.74	1	Day_-1	Control	m_37	20.38	0	0	0	Control	none	-1	S_263	NA	485	4.683706834996459
S_264	56699	56368	0.99	55608	55822	0.99	0.99	51337	0.92	51337	36374	36371	1	0.71	1	Day_-1	Control	m_44	21.6	0	0	0	Control	none	-1	S_264	NA	327	3.4366350394331313
S_265	52415	52164	1	51488	51508	0.99	0.99	47000	0.91	47000	33074	33074	1	0.7	1	Day_-1	Control	m_52	21.75	0	0	0	Control	none	-1	S_265	NA	367	4.209212776988622
S_267	40629	40017	0.98	37962	39383	0.95	0.98	33276	0.88	33276	25918	25918	1	0.78	1	Day_12	TreatA	m_8	18.24	0.112408759	0.2	1	TreatA	TreatA	12	S_267	NA	283	3.9395437687495174
S_268	67522	67104	0.99	65052	65909	0.97	0.98	58828	0.9	58828	44286	44286	1	0.75	1	Day_12	TreatA	m_19	18.64	0.125703565	0.64	1	TreatA	TreatA	12	S_268	NA	291	3.796376678249302
S_269	62759	62323	0.99	60618	61516	0.97	0.99	55474	0.92	55474	41040	41040	1	0.74	1	Day_12	TreatA	m_34	19.75	0.017901542	0.9	0	TreatA	TreatA	12	S_269	NA	310	3.636384400752488
S_270	51923	51673	1	50793	51026	0.98	0.99	47109	0.93	47109	33787	33787	1	0.72	1	Day_12	TreatA	m_26	22.45	-0.025114155	-0.15	1	TreatA	TreatA	12	S_270	NA	276	3.628516657010702
S_271	67574	67308	1	66518	66567	0.99	0.99	62749	0.94	62749	49311	49311	1	0.79	1	Day_12	TreatA	m_39	20.86	0.003820439	1.81	0	TreatA	TreatA	12	S_271	NA	298	3.787746030868731
S_272	69843	69434	0.99	68180	68564	0.98	0.99	63342	0.93	63342	47625	47625	1	0.75	1	Day_12	TreatA	m_46	20.12	0.047348485	0.7	0	TreatA	TreatA	12	S_272	NA	263	3.5448067355972914
S_273	53162	52908	1	52171	52277	0.99	0.99	48976	0.94	48976	38035	38035	1	0.78	1	Day_12	TreatA	m_48	19.75	0.029484029	0.71	0	TreatA	TreatA	12	S_273	NA	291	3.6831812299845073
S_274	89399	88860	0.99	86777	87744	0.98	0.99	80614	0.93	80614	59937	59937	1	0.74	1	Day_12	TreatB	m_29	17.62	0.158949881	0.26	3	TreatB	TreatB	12	S_274	NA	303	3.9685135812687515
S_275	47024	46664	0.99	46031	46150	0.99	0.99	42485	0.92	42485	30890	30890	1	0.73	1	Day_12	TreatB	m_13	17.6	0.135135135	0.05	3	TreatB	TreatB	12	S_275	NA	275	3.4951511108547275
S_276	52772	52491	0.99	51730	51714	0.99	0.99	47698	0.92	47698	36986	36986	1	0.78	1	Day_12	TreatB	m_18	17.57	0.184686775	0.39	3	TreatB	TreatB	12	S_276	NA	284	3.922418312504632
S_277	57920	57707	1	56978	56801	0.99	0.98	52627	0.92	52627	40691	40691	1	0.77	1	Day_12	TreatB	m_27	20.47	0.11691113	-0.46	1	TreatB	TreatB	12	S_277	NA	304	4.12476955302289
S_278	45769	45629	1	45263	44921	0.99	0.98	41374	0.91	41374	31897	31897	1	0.77	1	Day_12	TreatB	m_32	17.32	0.166506256	0.24	3	TreatB	TreatB	12	S_278	NA	295	3.9889359920855774
S_279	69581	69393	1	68667	68504	0.99	0.99	64030	0.93	64030	47728	47728	1	0.75	1	Day_12	TreatB	m_49	17.95	0.141148325	0.18	3	TreatB	TreatB	12	S_279	NA	355	4.009318851402083
S_280	51654	51454	1	50897	50887	0.99	0.99	47420	0.93	47420	37306	37306	1	0.79	1	Day_12	TreatB	m_54	17.25	0.124365482	0.2	3	TreatB	TreatB	12	S_280	NA	315	3.5765341790084606
S_281	47303	47147	1	46707	46496	0.99	0.99	43385	0.93	43385	32803	32803	1	0.76	1	Day_12	TreatB	m_35	18.45	0.101315149	-0.1	3	TreatB	TreatB	12	S_281	NA	300	3.9692339953064852
S_298	45576	45320	0.99	44563	44714	0.98	0.99	41344	0.93	41344	32872	32872	1	0.8	1	Day_12	TreatC	m_7	18.25	0.130123928	0.3	3	TreatC	TreatC	12	S_298	NA	278	3.721171604841506
S_299	37551	37094	0.99	36164	36676	0.97	0.99	32859	0.91	32859	25123	25123	1	0.76	1	Day_12	TreatC	m_10	17.35	0.152832031	0.25	3	TreatC	TreatC	12	S_299	NA	276	3.698453215575951
S_300	49047	48750	0.99	47852	48161	0.98	0.99	44429	0.93	44429	34215	34215	1	0.77	1	Day_12	TreatC	m_11	16.85	0.176844162	-0.01	4	TreatC	TreatC	12	S_300	NA	270	3.5047526588113294
S_301	55629	55307	0.99	54626	54653	0.99	0.99	50825	0.93	50825	39342	39342	1	0.77	1	Day_12	TreatC	m_24	20.01	0.126582278	-0.35	2	TreatC	TreatC	12	S_301	NA	281	3.4960580704854496
S_302	39112	38954	1	38658	38534	0.99	0.99	36206	0.94	36206	27584	27584	1	0.76	1	Day_12	TreatC	m_28	18.12	0.149295775	-0.05	3	TreatC	TreatC	12	S_302	NA	229	3.218141588817732
S_303	56158	55984	1	54978	55559	0.98	0.99	51798	0.94	51798	36753	36753	1	0.71	1	Day_12	TreatC	m_36	17.07	0.240320427	-0.19	4	TreatC	TreatC	12	S_303	NA	118	2.0890350482758477
S_304	56174	55990	1	54558	55582	0.97	0.99	50705	0.93	50705	34090	34090	1	0.67	1	Day_12	TreatC	m_51	16.07	0.266879562	0.2	4	TreatC	TreatC	12	S_304	NA	102	2.0757717118450074
S_305	49080	48860	1	48261	48353	0.99	0.99	43798	0.91	43798	32369	32369	1	0.74	1	Day_12	Control	m_2	20.7	-0.018492176	-0.02	0	Control	none	12	S_305	NA	418	3.9004577587144453
S_306	51145	50825	0.99	50082	50314	0.99	0.99	46319	0.92	46319	33486	33486	1	0.72	1	Day_12	Control	m_21	21.54	0.010793055	0.74	0	Control	none	12	S_306	NA	337	3.557244120264284
S_308	61065	60799	1	59746	59875	0.98	0.98	51026	0.85	51026	37026	37026	1	0.73	1	Day_12	Control	m_25	21.86	-0.006363636	-1.88	0	Control	none	12	S_308	NA	453	4.328853429713055
S_309	49604	49210	0.99	48411	48539	0.98	0.99	43102	0.89	43102	30284	30284	1	0.7	1	Day_12	Control	m_37	21.16	0.038272816	-0.22	0	Control	none	12	S_309	NA	286	3.062828947212404
S_310	39676	39568	1	39079	39070	0.99	0.99	33431	0.86	33431	24770	24770	1	0.74	1	Day_12	Control	m_44	22.97	0.063425926	0.12	0	Control	none	12	S_310	NA	426	4.298891878520873
S_311	67509	67341	1	66594	66566	0.99	0.99	58799	0.88	58799	41706	41706	1	0.71	1	Day_12	Control	m_52	22.07	0.014712644	0.67	0	Control	none	12	S_311	NA	436	4.185583609840611
S_312	54562	54327	1	53556	53619	0.99	0.99	47333	0.88	47333	34794	34794	1	0.74	1	Day_12	Control	m_53	21.47	-0.029823769	-0.87	0	Control	none	12	S_312	NA	440	3.9679013094962006
S_313	51990	51826	1	51343	51218	0.99	0.99	48093	0.94	48093	38160	38160	1	0.79	1	Day_14	TreatA	m_19	21.13	0.00891182	1.32	0	TreatA	TreatA	14	S_313	NA	310	3.636677006804242
S_315	56389	56103	0.99	55311	55282	0.99	0.99	50234	0.91	50234	37273	37273	1	0.74	1	Day_14	TreatA	m_34	21.03	-0.045748384	0.84	0	TreatA	TreatA	14	S_315	NA	331	4.051817550041171
S_316	52602	52284	0.99	51592	51797	0.99	0.99	48036	0.93	48036	35747	35747	1	0.74	1	Day_14	TreatA	m_26	21.34	0.025570776	-0.85	0	TreatA	TreatA	14	S_316	NA	255	2.9669793514075313
S_317	55353	55045	0.99	54304	54490	0.99	0.99	50207	0.92	50207	36364	36364	1	0.72	1	Day_14	TreatA	m_39	22.88	-0.092645654	2.42	0	TreatA	TreatA	14	S_317	NA	246	3.446522658830627
S_318	47228	47005	1	46369	46415	0.99	0.99	43142	0.93	43142	32689	32689	1	0.76	1	Day_14	TreatA	m_46	21.81	-0.032670455	0.59	0	TreatA	TreatA	14	S_318	NA	226	3.3970760557469806
S_319	51051	50825	1	50302	50300	0.99	0.99	46711	0.93	46711	35016	35016	1	0.75	1	Day_14	TreatA	m_48	21.31	-0.047174447	0.49	0	TreatA	TreatA	14	S_319	NA	241	3.391351085061421
S_320	50339	50129	1	49527	49544	0.99	0.99	45769	0.92	45769	33891	33891	1	0.74	1	Day_14	TreatB	m_29	18.02	0.139856802	0.17	2	TreatB	TreatB	14	S_320	NA	258	3.611341950489917
S_321	53955	53733	1	53035	53076	0.99	0.99	48984	0.92	48984	35926	35926	1	0.73	1	Day_14	TreatB	m_13	18.23	0.104176904	0.38	2	TreatB	TreatB	14	S_321	NA	290	3.63309311934647
S_322	50561	50357	1	49892	49982	0.99	0.99	47055	0.94	47055	33868	33868	1	0.72	1	Day_14	TreatB	m_18	18.01	0.164269142	0.45	3	TreatB	TreatB	14	S_322	NA	209	2.559820819052909
S_323	55667	55424	1	54749	54623	0.99	0.99	50335	0.92	50335	38224	38224	1	0.76	1	Day_14	TreatB	m_27	20.95	0.096203624	0.94	0	TreatB	TreatB	14	S_323	NA	312	3.8056094421883624
S_324	53070	52783	0.99	52078	52396	0.99	0.99	49621	0.95	49621	41368	41368	1	0.83	1	Day_14	TreatB	m_32	17.85	0.141000962	0.5	2	TreatB	TreatB	14	S_324	NA	252	3.0572410725859696
S_325	43764	43485	0.99	42777	43048	0.98	0.99	39705	0.93	39705	29213	29213	1	0.74	1	Day_14	TreatB	m_49	18.35	0.122009569	0.23	2	TreatB	TreatB	14	S_325	NA	264	3.3398139241678515
S_326	55187	55049	1	54210	54461	0.98	0.99	49886	0.92	49886	37943	37943	1	0.76	1	Day_14	TreatB	m_54	18.52	0.059898477	0.52	0	TreatB	TreatB	14	S_326	NA	345	3.9992349251764088
S_327	44766	44572	1	44063	44115	0.99	0.99	41415	0.94	41415	33353	33353	1	0.81	1	Day_14	TreatB	m_35	18.95	0.076960546	0.41	0	TreatB	TreatB	14	S_327	NA	256	3.6666519832969615
S_341	51618	51384	1	50750	50912	0.99	0.99	47667	0.94	47667	37388	37388	1	0.78	1	Day_14	TreatC	m_7	18.21	0.132030505	0.07	2	TreatC	TreatC	14	S_341	NA	294	3.6370473325766657
S_342	38695	38576	1	38190	38209	0.99	0.99	36114	0.95	36114	30253	30253	1	0.84	1	Day_14	TreatC	m_10	17.58	0.141601563	-0.07	3	TreatC	TreatC	14	S_342	NA	306	4.0028252568164815
S_343	31639	31476	0.99	31038	31086	0.99	0.99	28431	0.92	28431	22578	22578	1	0.79	1	Day_14	TreatC	m_11	17.65	0.137762579	0.09	2	TreatC	TreatC	14	S_343	NA	279	4.176611076837924
S_344	57314	57167	1	56524	56611	0.99	0.99	52379	0.93	52379	41121	41121	1	0.79	1	Day_14	TreatC	m_24	20.23	0.116979485	-0.4	3	TreatC	TreatC	14	S_344	NA	326	3.978854251183954
S_345	26796	26719	1	26323	26354	0.99	0.99	23818	0.9	23818	18120	18120	1	0.76	1	Day_14	TreatC	m_28	18.96	0.109859155	0.42	3	TreatC	TreatC	14	S_345	NA	281	4.033661995241485
S_346	42867	42762	1	42236	42312	0.99	0.99	38771	0.92	38771	30174	30174	1	0.78	1	Day_14	TreatC	m_36	18.02	0.198041834	0.8	3	TreatC	TreatC	14	S_346	NA	330	4.105397401548118
S_347	49591	49374	1	48708	48943	0.99	0.99	45983	0.94	45983	34059	34059	1	0.74	1	Day_14	TreatC	m_51	16.96	0.226277372	0.72	4	TreatC	TreatC	14	S_347	NA	267	3.6441607787271857
S_348	49706	49595	1	49100	49181	0.99	0.99	46988	0.96	46988	36536	36536	1	0.78	1	Day_14	TreatC	m_55	18.02	0.121404193	0.06	2	TreatC	TreatC	14	S_348	NA	172	3.2080725070200993
S_349	82068	81706	1	80665	80976	0.99	0.99	75663	0.94	75663	54422	54422	1	0.72	1	Day_14	Control	m_2	21.28	0.009009009	0.58	0	Control	none	14	S_349	NA	371	3.7386639502123287
S_350	52750	52500	1	51830	51938	0.99	0.99	48047	0.93	48047	33745	33745	1	0.7	1	Day_14	Control	m_21	21.72	0.019239794	0.18	0	Control	none	14	S_350	NA	317	3.6721943160165753
S_351	73446	73177	1	72467	72411	0.99	0.99	67645	0.93	67645	47662	47662	1	0.7	1	Day_14	Control	m_22	21.7	0.061124694	0.54	0	Control	none	14	S_351	NA	366	3.782919520344222
S_352	69764	69491	1	68538	68691	0.99	0.99	63239	0.92	63239	45958	45958	1	0.73	1	Day_14	Control	m_25	21.79	-0.009545455	-0.07	0	Control	none	14	S_352	NA	435	4.396087164873565
S_353	61764	61575	1	60824	61048	0.99	0.99	56477	0.93	56477	45184	45184	1	0.8	1	Day_14	Control	m_37	21.72	0.065750736	0.56	0	Control	none	14	S_353	NA	472	3.8341957166831335
S_354	52313	52053	1	51372	51569	0.99	0.99	48051	0.94	48051	34946	34946	1	0.73	1	Day_14	Control	m_44	23.77	0.100462963	0.8	0	Control	none	14	S_354	NA	385	3.90725421572282
S_355	51593	51313	0.99	50391	50675	0.98	0.99	46169	0.92	46169	32861	32861	1	0.71	1	Day_14	Control	m_52	21.75	0	-0.26	0	Control	none	14	S_355	NA	351	3.916988165172636
S_356	46806	46542	0.99	45968	45972	0.99	0.99	41514	0.9	41514	29841	29841	1	0.72	1	Day_14	Control	m_53	22.26	0.005874379	0.79	0	Control	none	14	S_356	NA	397	3.7840705147513956
S_438	66744	66455	1	65323	65479	0.98	0.99	60561	0.93	60561	52584	52584	1	0.87	1	Day_6	TreatA	m_19	20.48	0.039399625	-0.93	1	TreatA	TreatA	6	S_438	NA	366	4.179132006127762
S_439	65688	65409	1	64553	64591	0.99	0.99	60150	0.93	60150	50751	50751	1	0.84	1	Day_6	TreatA	m_26	20.35	0.070776256	-1.61	2	TreatA	TreatA	6	S_439	NA	348	4.179904375142095
S_440	42282	42132	1	41655	41507	0.99	0.99	38560	0.93	38560	33283	33283	1	0.86	1	Day_6	TreatA	m_46	20.77	0.01657197	-0.49	1	TreatA	TreatA	6	S_440	NA	285	3.8370768360289182
S_441	70679	70422	1	69786	69632	0.99	0.99	66477	0.95	66477	58699	58699	1	0.88	1	Day_6	TreatA	m_48	19.9	0.022113022	-0.43	1	TreatA	TreatA	6	S_441	NA	317	3.7817595305794063
S_442	64149	63878	1	62852	63031	0.98	0.99	60377	0.96	60377	58881	58881	1	0.98	1	Day_6	TreatA	m_56	19.5	0.049244271	-1.12	1	TreatA	TreatA	6	S_442	NA	335	3.987402955072399
S_443	66106	65772	0.99	65139	65014	0.99	0.99	61479	0.94	61479	50758	50758	1	0.83	1	Day_6	TreatB	m_29	21.32	-0.017661098	0.39	2	TreatB	TreatB	6	S_443	NA	271	3.5157901893215144
S_444	67344	67025	1	65804	66358	0.98	0.99	63124	0.96	63124	60863	60863	1	0.96	1	Day_6	TreatB	m_13	20.59	-0.011793612	-0.79	1	TreatB	TreatB	6	S_444	NA	371	4.1904909922297096
S_445	47094	46707	0.99	45473	46244	0.97	0.99	42723	0.94	42723	36375	36375	1	0.85	1	Day_6	TreatB	m_18	21.06	0.022737819	-1.04	1	TreatB	TreatB	6	S_445	NA	316	3.8838749630696365
S_446	67572	67267	1	65981	66428	0.98	0.99	61694	0.94	61694	50918	50918	1	0.83	1	Day_6	TreatB	m_27	22.95	0.009922347	-0.21	0	TreatB	TreatB	6	S_446	NA	360	4.035671395409106
S_447	67255	66994	1	65937	66416	0.98	0.99	63155	0.96	63155	58042	58042	1	0.92	1	Day_6	TreatB	m_32	20.91	-0.006256015	-0.15	1	TreatB	TreatB	6	S_447	NA	391	4.203374617463942
S_448	57626	57445	1	56882	56862	0.99	0.99	54043	0.95	54043	46975	46975	1	0.87	1	Day_6	TreatB	m_49	20.41	0.023444976	-1	2	TreatB	TreatB	6	S_448	NA	338	3.8514191546057646
S_449	69800	69629	1	69042	68944	0.99	0.99	65940	0.96	65940	57531	57531	1	0.87	1	Day_6	TreatB	m_54	19.93	-0.011675127	-0.86	1	TreatB	TreatB	6	S_449	NA	348	4.151876706679126
S_450	66731	66475	1	65494	65868	0.99	0.99	62165	0.95	62165	53894	53894	1	0.87	1	Day_6	TreatB	m_35	20.81	-0.013638578	-0.6	1	TreatB	TreatB	6	S_450	NA	358	4.162449878453282
S_465	69793	69596	1	68933	69150	0.99	0.99	67008	0.97	67008	63618	63618	1	0.95	1	Day_6	TreatC	m_7	20.98	0	-0.93	1	TreatC	TreatC	6	S_465	NA	326	4.031486892139726
S_466	73792	73415	0.99	72195	72677	0.98	0.99	68679	0.95	68679	60000	60000	1	0.87	1	Day_6	TreatC	m_10	20.42	0.002929687	-0.69	1	TreatC	TreatC	6	S_466	NA	321	3.8190436862862818
S_467	64707	64401	1	63506	63635	0.99	0.99	59847	0.94	59847	49010	49010	1	0.82	1	Day_6	TreatC	m_11	19.93	0.026380068	-0.87	1	TreatC	TreatC	6	S_467	NA	340	4.039632109480462
S_468	69869	69411	0.99	67836	68545	0.98	0.99	63359	0.93	63359	53096	53096	1	0.84	1	Day_6	TreatC	m_24	23.81	-0.039284155	0.46	0	TreatC	TreatC	6	S_468	NA	383	4.129799007631014
S_469	22876	22575	0.99	21552	22319	0.95	0.99	19263	0.89	19263	15459	15459	1	0.8	1	Day_6	TreatC	m_28	20.73	0.026760563	-0.7	1	TreatC	TreatC	6	S_469	NA	296	4.19189121204949
S_470	70853	70436	0.99	69010	69691	0.98	0.99	65289	0.95	65289	57063	57063	1	0.87	1	Day_6	TreatC	m_36	21.79	0.030262572	-0.33	2	TreatC	TreatC	6	S_470	NA	361	4.011118111324789
S_471	66286	66030	1	64938	65385	0.98	0.99	58034	0.89	58034	43164	43164	1	0.74	1	Day_6	Control	m_2	20.65	-0.020862968	-0.34	0	Control	none	6	S_471	NA	467	4.534641816844737
S_472	63794	63539	1	62844	62818	0.99	0.99	57373	0.91	57373	43837	43837	1	0.76	1	Day_6	Control	m_21	21.2	-0.005161896	0.25	0	Control	none	6	S_472	NA	414	4.222416959637559
S_473	76951	76627	1	76016	76028	0.99	0.99	72195	0.95	72195	56134	56134	1	0.78	1	Day_6	Control	m_22	20.9	0.02200489	-1.05	0	Control	none	6	S_473	NA	360	3.4469090146451284
S_474	61480	61249	1	60023	60475	0.98	0.99	52673	0.88	52673	37386	37384	1	0.71	1	Day_6	Control	m_25	21.68	-0.014545455	0.38	0	Control	none	6	S_474	NA	477	4.840188911590777
S_475	65287	65039	1	64261	64598	0.99	0.99	60887	0.95	60887	48463	48463	1	0.8	1	Day_6	Control	m_37	21.68	0.063788027	0.43	0	Control	none	6	S_475	NA	382	3.3146788818570867
S_476	62397	61982	0.99	60877	61304	0.98	0.99	55620	0.91	55620	43056	43056	1	0.77	1	Day_6	Control	m_44	22.45	0.039351852	0.52	0	Control	none	6	S_476	NA	430	4.312703438369481
S_477	40902	40453	0.99	39440	40103	0.97	0.99	35722	0.91	35722	27699	27699	1	0.78	1	Day_6	Control	m_52	20.76	-0.045517241	-0.19	0	Control	none	6	S_477	NA	399	3.943280107561316
S_478	67854	67566	1	66284	66723	0.98	0.99	57328	0.86	57328	43663	43663	1	0.76	1	Day_6	Control	m_53	21.74	-0.017623136	0.18	0	Control	none	6	S_478	NA	502	4.688411470245953
